,station_elevation_m,nearest_subway_distance_m,elevation_diff_nearest_subway_m,nearest_bus_stop_distance_m,elevation_diff_nearest_bus_stop_m,nearest_park_distance_m,nearest_park_area_sqm,elevation_diff_nearest_park_m,distance_naturepark_m,distance_river_boundary_m
count,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0
mean,30.93,504.7,0.46,80.28,0.04,1056.83,458202.9,-31.56,1424.97,858.75
std,11.57,490.47,10.43,75.43,4.5,523.09,662939.14,27.38,1054.16,638.11
min,13.0,18.56,-38.0,1.88,-12.0,54.76,29816.5,-76.0,0.0,16.7
25%,23.0,129.3,-6.0,31.89,-2.0,593.39,157535.0,-56.0,419.21,361.16
50%,28.0,383.96,0.0,58.26,0.0,1024.11,254648.0,-33.0,1201.18,664.66
75%,37.0,659.63,7.0,113.26,1.0,1422.4,328018.0,-9.0,2307.36,1220.4
max,82.0,2398.4,39.0,577.9,19.0,2330.32,2277252.0,35.0,3848.63,2675.06
