cluster,station_elevation_m,elevation_diff_nearest_subway_m,elevation_diff_nearest_bus_stop_m,nearest_park_distance_m,nearest_park_area_sqm,elevation_diff_nearest_park_m,distance_naturepark_m,inside_naturepark,distance_river_boundary_m
0,31.94,-0.41,0.16,888.24,332814.5,-32.57,1538.55,0.0,1001.06
1,22.67,3.0,-2.0,1103.25,391939.33,-31.0,1349.91,0.0,572.88
2,28.38,-4.25,-0.31,1119.91,668321.8,-39.5,1408.52,0.0,629.38
3,32.34,2.3,-0.07,1106.09,414114.58,-32.18,1571.69,0.0,1060.25
4,31.89,3.84,1.32,1286.24,613957.05,-15.53,475.4,0.05,374.79
