cluster,arrival_7_10_ratio,arrival_11_14_ratio,arrival_17_20_ratio,morning_net_inflow,evening_net_inflow,subway_distance_m,bus_stop_count_300m,station_elevation_m,elevation_diff_nearest_subway_m,nearest_park_area_sqm,distance_naturepark_m,distance_river_boundary_m,station_count
0,0.2074,0.2041,0.2644,-182.5833,-493.8333,400.2423,26.3333,44.0833,9.6111,207150.3333,1721.0716,1646.1942,36
1,0.1537,0.153,0.3261,-1192.8,813.1,1577.3415,27.6,31.45,4.0,513027.5,303.5253,387.5622,20
2,0.1356,0.1755,0.3252,-1532.75,478.875,256.9479,28.375,29.125,0.5,2277252.0,637.5796,368.2122,16
3,0.1335,0.1789,0.3462,-889.0196,581.6078,316.1771,30.9804,26.6078,-2.0,225737.7353,1482.251,797.613,51
4,0.2491,0.1755,0.2544,571.0,-338.75,473.4566,20.2857,27.9286,-9.6786,185714.5357,2294.8709,742.659,28
5,0.3693,0.1743,0.2119,4781.6923,-2311.3846,419.0896,39.3846,23.0,0.3846,379198.0,871.9585,640.6867,13
