station_id,avg_rental,rental_std,weekday_avg,weekend_avg,peak_ratio,night_ratio,weekday_weekend_gap
2301,26.49514563106796,21.52292811714303,22.990272373540854,35.19806763285024,0.3551274668900173,0.1655237397267445,-12.207795259309385
2302,20.392957746478874,10.097505228113553,21.726377952755904,17.03960396039604,0.3391118171144416,0.2225982457352027,4.686773992359864
2303,26.258549931600548,13.436004281225365,28.693486590038315,20.177033492822968,0.3946861161760875,0.1586350612138578,8.516453097215347
2304,9.085260115606937,6.720163155837046,9.855421686746988,7.108247422680412,0.41164307300779385,0.12613329091776682,2.747174264066576
2305,7.590711175616836,4.469954696378943,8.909803921568628,3.8324022346368714,0.41051625239005735,0.07533460803059273,5.077401686931756
2306,43.24623803009576,19.544108075983676,46.59578544061303,34.880382775119614,0.40261917565558475,0.10767722139626103,11.715402665493414
2307,10.656033287101248,6.4414776012790185,10.844961240310077,10.180487804878048,0.34608876740856437,0.1218274111675127,0.6644734354320292
2308,23.864383561643837,10.848348187564408,24.764367816091955,21.60576923076923,0.3273061247919178,0.12312726020320303,3.158598585322725
2309,11.824191279887483,8.183547898756858,13.16504854368932,8.301020408163266,0.46687284405852264,0.12037587724515285,4.864028135526054
2310,8.988904299583911,5.02188422396258,9.493203883495145,7.728155339805825,0.28159234686005247,0.26492825181299184,1.7650485436893195
2311,8.751079136690647,6.974008630925137,9.309859154929578,7.348484848484849,0.35991450180861556,0.11854653074646498,1.9613743064447293
2312,11.730446927374302,7.025923651493796,12.986407766990292,8.512437810945274,0.45803071794261224,0.15882843195618526,4.473969956045018
2313,10.705075445816187,5.822652715388878,11.464491362763916,8.802884615384615,0.2692209123526397,0.2269349051768324,2.6616067473793006
2314,9.210914454277287,6.6446899350086515,8.524793388429751,10.922680412371134,0.35356285028022416,0.11529223378702963,-2.397887023941383
2315,16.05103448275862,9.583243297817441,18.18076923076923,10.648780487804878,0.4248517659190513,0.08962791097361864,7.5319887429643515
2317,13.148217636022514,8.34605066284834,12.965608465608465,13.593548387096774,0.3660102739726027,0.1348458904109589,-0.6279399214883092
2318,5.758670520231214,3.996868886107369,6.076612903225806,4.954081632653061,0.37992471769134256,0.11116687578419071,1.122531270572745
2319,16.314482758620688,9.75432316189764,19.48169556840077,8.33495145631068,0.3051234359147785,0.11861684139330403,11.14674411209009
2320,17.1513353115727,8.440559036419344,17.195020746887966,17.041666666666668,0.3109861591695502,0.16557093425605537,0.15335408022129826
2321,12.807162534435262,6.8606828608378585,12.330754352030947,13.985645933014354,0.3787911378791138,0.09808560980856099,-1.6548915809834064
2323,13.865629420084865,8.982374525560237,17.04863813229572,5.38860103626943,0.28889115576864227,0.039477710904825054,11.660037096026292
2324,22.302739726027397,10.204634260219205,22.49808429118774,21.8125,0.3383084577114428,0.13610957557889564,0.685584291187741
2325,25.315500685871058,11.602235174613817,25.426923076923078,25.038277511961724,0.29753454348415065,0.1824437821728529,0.3886455649613545
2326,17.86675824175824,9.879192947831433,18.509615384615383,16.259615384615383,0.32836165141846696,0.14961174752056586,2.25
2327,23.069767441860463,13.161767059845092,27.27777777777778,12.559808612440191,0.37322106261859583,0.11841793168880456,14.717969165337587
